test_who,song_id,test_order,f1_score,feat,mode
5,2,2,0.8968,acc + gyr,one-to-one
5,2,3,0.8553,acc + gyr,one-to-one
5,2,1,0.7367,acc + gyr,rest-to-one
5,2,2,0.752,acc + gyr,rest-to-one
5,2,3,0.7454,acc + gyr,rest-to-one
5,2,1,0.8147,acc + gyr,all-to-one
5,2,2,0.8317,acc + gyr,all-to-one
5,2,3,0.8094,acc + gyr,all-to-one
6,2,1,0.8588,acc + gyr,one-to-one
6,2,2,0.864,acc + gyr,one-to-one
6,2,3,0.9054,acc + gyr,one-to-one
6,2,1,0.76,acc + gyr,rest-to-one
6,2,2,0.7588,acc + gyr,rest-to-one
6,2,3,0.7728,acc + gyr,rest-to-one
6,2,1,0.8166,acc + gyr,all-to-one
6,2,2,0.8354,acc + gyr,all-to-one
6,2,3,0.8517,acc + gyr,all-to-one
7,2,1,0.8909,acc + gyr,one-to-one
7,2,2,0.9257,acc + gyr,one-to-one
7,2,3,0.921,acc + gyr,one-to-one
7,2,1,0.797,acc + gyr,rest-to-one
7,2,2,0.7987,acc + gyr,rest-to-one
7,2,3,0.847,acc + gyr,rest-to-one
7,2,1,0.8361,acc + gyr,all-to-one
7,2,2,0.8653,acc + gyr,all-to-one
7,2,3,0.8982,acc + gyr,all-to-one
8,2,1,0.756,acc + gyr,one-to-one
8,2,2,0.779,acc + gyr,one-to-one
8,2,3,0.7612,acc + gyr,one-to-one
8,2,1,0.7394,acc + gyr,rest-to-one
8,2,2,0.765,acc + gyr,rest-to-one
8,2,3,0.7665,acc + gyr,rest-to-one
8,2,1,0.7431,acc + gyr,all-to-one
8,2,2,0.7897,acc + gyr,all-to-one
8,2,3,0.7742,acc + gyr,all-to-one
1,2,1,0.8411,acc + near,one-to-one
1,2,2,0.8112,acc + near,one-to-one
1,2,3,0.8206,acc + near,one-to-one
1,2,1,0.8045,acc + near,rest-to-one
1,2,2,0.7886,acc + near,rest-to-one
1,2,3,0.8433,acc + near,rest-to-one
1,2,1,0.8564,acc + near,all-to-one
1,2,2,0.8237,acc + near,all-to-one
1,2,3,0.8546,acc + near,all-to-one
2,2,1,0.9428,acc + near,one-to-one
2,2,2,0.9476,acc + near,one-to-one
2,2,3,0.9115,acc + near,one-to-one
2,2,1,0.8882,acc + near,rest-to-one
2,2,2,0.9196,acc + near,rest-to-one
2,2,3,0.8822,acc + near,rest-to-one
